조사 시기,나이,귀래면 총인구수 (명),귀래면 남자인구수 (명),귀래면 여자인구수 (명),반곡관설동 총인구수 (명),반곡관설동 남자인구수 (명),반곡관설동 여자인구수 (명)
2020. 08,0 - 4세,17,10,7,2236,1160,1076
2020. 08,5 - 9세,31,16,15,3091,1524,1567
2020. 08,10 - 14세,26,12,14,2993,1498,1495
2020. 08,15 - 19세,51,23,28,2812,1368,1444
2020. 08,20 - 24세,72,34,38,2528,1331,1197
2020. 08,25 - 29세,66,38,28,2572,1193,1379
2020. 08,30 - 34세,50,36,14,3197,1437,1760
2020. 08,35 - 39세,77,55,22,4207,2017,2190
2020. 08,40 - 44세,59,25,34,4262,1986,2276
2020. 08,45 - 49세,110,65,45,4511,2210,2301
2020. 08,50 - 54세,174,87,87,3623,1929,1694
2020. 08,55 - 59세,294,166,128,2521,1273,1248
2020. 08,60 - 64세,324,171,153,1959,924,1035
2020. 08,65 - 69세,248,132,116,1134,588,546
2020. 08,70 - 74세,162,78,84,657,293,364
2020. 08,75 - 79세,179,72,107,622,276,346
2020. 08,80 - 84세,143,68,75,398,150,248
2020. 08,85 - 89세,65,16,49,204,51,153
2020. 08,90 - 94세,27,3,24,79,14,65
2020. 08,95 - 99세,11,3,8,17,7,10
2020. 08,100+,3,1,2,6,1,5
