term of investigation,age,Gwirae-myeon total population,Gwirae-myeon male population,Gwirae-myeon female population,Bangokgwanseol-dong total population,Bangokgwanseol-dong male population,Bangokgwanseol-dong female population
2020. 08,0,17,10,7,2236,1160,1076
2020. 08,5,31,16,15,3091,1524,1567
2020. 08,10,26,12,14,2993,1498,1495
2020. 08,15,51,23,28,2812,1368,1444
2020. 08,20,72,34,38,2528,1331,1197
2020. 08,25,66,38,28,2572,1193,1379
2020. 08,30,50,36,14,3197,1437,1760
2020. 08,35,77,55,22,4207,2017,2190
2020. 08,40,59,25,34,4262,1986,2276
2020. 08,45,110,65,45,4511,2210,2301
2020. 08,50,174,87,87,3623,1929,1694
2020. 08,55,294,166,128,2521,1273,1248
2020. 08,60,324,171,153,1959,924,1035
2020. 08,65,248,132,116,1134,588,546
2020. 08,70,162,78,84,657,293,364
2020. 08,75,179,72,107,622,276,346
2020. 08,80,143,68,75,398,150,248
2020. 08,85,65,16,49,204,51,153
2020. 08,90,27,3,24,79,14,65
2020. 08,95,11,3,8,17,7,10
2020. 08,100,3,1,2,6,1,5
